Alabama,25.57864282,74.42135718,9
Alaska,51.74333819,48.25666181,3
Arizona,54.07366071,45.92633929,11
Arkansas,39.49400799,60.50599201,6
California,62.18633209,37.81366791,55
Colorado,56.95519282,43.04480718,9
Connecticut,62.58445946,37.41554054,7
Delaware,72.243404,27.756596,3
District of Columbia,86.39077906,13.60922094,3
Florida,49.13971934,50.86028066,29
Georgia,39.77695167,60.22304833,16
Hawaii,78.54251012,21.45748988,4
Idaho,38.9151281,61.0848719,4
Illinois,64.01312266,35.98687734,20
Indiana,51.90771961,48.09228039,11
Iowa,56.57914256,43.42085744,6
Kansas,55.97600369,44.02399631,6
Kentucky,49.86316366,50.13683634,8
Louisiana,40.59007018,59.40992982,8
Maine,62.83742465,37.16257535,4
Maryland,67.8948832,32.1051168,10
Massachusetts,68.90841931,31.09158069,11
Michigan,56.18987871,43.81012129,16
Minnesota,57.14070276,42.85929724,10
Mississippi,34.57598179,65.42401821,6
Missouri,56.47835657,43.52164343,10
Montana,45.00144886,54.99855114,3
Nebraska,46.55953251,53.44046749,5
Nevada,51.67688895,48.32311105,6
New Hampshire,60.88105145,39.11894855,4
New Jersey,56.10281254,43.89718746,14
New Mexico,61.50711424,38.49288576,5
New York,57.9081976,42.0918024,29
North Carolina,49.3203998,50.6796002,15
North Dakota,33.37239965,66.62760035,3
Ohio,49.8957439,50.1042561,18
Oklahoma,42.24100248,57.75899752,7
Oregon,60.99816369,39.00183631,7
Pennsylvania,53.47880522,46.52119478,20
Rhode Island,61.11414528,38.88585472,4
South Carolina,42.24614077,57.75385923,9
South Dakota,49.18389554,50.81610446,3
Tennessee,42.87445164,57.12554836,11
Texas,45.57180257,54.42819743,38
Utah,45.54707379,54.45292621,6
Vermont,61.9060889,38.0939111,3
Virginia,58.74475856,41.25524144,13
Washington,62.40545651,37.59454349,12
West Virginia,33.4566379,66.5433621,5
Wisconsin,60.81730769,39.18269231,10
Wyoming,34.89883052,65.10116948,3
